parameter,word
mM,æiti
mF,isæ
mMeB,eno
mFeB,setæ
mMeZ,tæti
mFeZ,tæti
meB,weli
myB,nuor̃empi weli
meZ,sisko
myZ,nuor̃empi sisar̃
mMBeS,ser̃kku
mMeBS,ser̃kku
mMyBS,ser̃kku
mFBeS,ser̃kku
mFeBS,ser̃kku
mFyBS,ser̃kku
mMZeS,ser̃kku
mMeZS,ser̃kku
mMyZS,ser̃kku
mFZeS,ser̃kku
mFeZS,ser̃kku
mFyZS,ser̃kku
mMBeD,ser̃kku
mMeBD,ser̃kku
mMyBD,ser̃kku
mFBeD,ser̃kku
mFeBD,ser̃kku
mFyBD,ser̃kku
mMZeD,ser̃kku
mMeZD,ser̃kku
mMyZD,ser̃kku
mFZeD,ser̃kku
mFeZD,ser̃kku
mFyZD,ser̃kku
