parameter,word
mM,ngati
mF,wapirra
mMeB,ngamirni
mFeB,ngamirni
mMeZ,parnman
mFeZ,pimirdi
meB,babali
myB,gogono
meZ,gabidi
myZ,ngawurru
mMBeS,wankili
mMeBS,wankili
mMyBS,wankili
mFBeS,wankili
mFeBS,wankili
mFyBS,wankili
mMZeS,murrkardi
mMeZS,murrkardi
mMyZS,murrkardi
mFZeS,wankili
mFeZS,wankili
mFyZS,wankili
mMBeD,wankili
mMeBD,wankili
mMyBD,wankili
mFBeD,ngawurru
mFeBD,ngawurru
mFyBD,ngawurru
mMZeD,murrkardi
mMeZD,murrkardi
mMyZD,murrkardi
mFZeD,wankili
mFeZD,wankili
mFyZD,wankili
