parameter,word
mM,eni'
mF,ame'
mMeB,ame naxce'
mMyB,naxce'
mFeB,ambame'
mFyB,ajyame'
mMeZ,dexeme'
mFeZ,guxu'
meZ,gege'
myZ,nuN
mMBeS,jyalxi
mMeBS,jyalxi
mMyBS,jyalxi
mFBeS,jyalxi
mFeBS,jyalxi
mFyBS,jyalxi
mMZeS,ina
mMeZS,ina
mMyZS,ina
mFZeS,ina
mFeZS,ina
mFyZS,ina
mMBeD,jyalxi saχenji
mMeBD,jyalxi saχenji
mMyBD,jyalxi saχenji
mFBeD,jyalxi saχenji
mFeBD,jyalxi saχenji
mFyBD,jyalxi saχenji
mMZeD,ina saχenji
mMeZD,ina saχenji
mMyZD,ina saχenji
mFZeD,ina saχenji
mFeZD,ina saχenji
mFyZD,ina saχenji
feB,age'
fyB,du
